Date,Heure,Match,Stade,Diffusion
2026-06-30,21:00,16e de finale : 1er Groupe A - 3e Groupe C/E/F/H/I,Stade de Mexico,À déterminer
2026-07-01,12:00,16e de finale : 1er Groupe L - 3e Groupe E/H/I/J/K,Stade d'Atlanta,À déterminer
2026-07-01,16:00,16e de finale : 1er Groupe G - 3e Groupe A/E/H/I/J,Stade de Seattle,À déterminer
2026-07-01,20:00,16e de finale : 1er Groupe D - 3e Groupe B/E/F/I/J,Stade de la baie de San Francisco,À déterminer
2026-07-02,15:00,16e de finale : 1er Groupe H - 2e Groupe J,Stade de Los Angeles,À déterminer
2026-07-02,19:00,16e de finale : 2e Groupe K - 2e Groupe L,Stade de Toronto,À déterminer
2026-07-02,23:00,16e de finale : 1er Groupe B - 3e Groupe E/F/G/I/J,Place de Vancouver,À déterminer
2026-07-03,14:00,16e de finale : 2e Groupe D - 2e Groupe G,Stade de Dallas,À déterminer
2026-07-03,18:00,16e de finale : 1er Groupe J - 2e Groupe H,Stade de Miami,À déterminer
2026-07-03,21:30,16e de finale : 1er Groupe K - 3e Groupe D/E/I/J/L,Stade de Kansas City,À déterminer
2026-07-04,13:00,Huitième de finale : Match 90,Stade de Houston,À déterminer
2026-07-04,17:00,Huitième de finale : Match 89,Stade de Philadelphie,À déterminer
2026-07-05,16:00,Huitième de finale : Match 91,Stade de New York New Jersey,À déterminer
2026-07-05,20:00,Huitième de finale : Match 92,Stade de Mexico,À déterminer
2026-07-06,15:00,Huitième de finale : Match 93,Stade de Dallas,À déterminer
2026-07-06,20:00,Huitième de finale : Match 94,Stade de Seattle,À déterminer
2026-07-07,12:00,Huitième de finale : Match 95,Stade d'Atlanta,À déterminer
2026-07-07,16:00,Huitième de finale : Match 96,BC Place de Vancouver,À déterminer
2026-07-09,16:00,Quart de finale : Match 97,Stade de Boston,À déterminer
2026-07-10,15:00,Quart de finale : Match 98,Stade de Los Angeles,À déterminer
2026-07-11,17:00,Quart de finale : Match 99,Stade de Miami,À déterminer
2026-07-11,21:00,Quart de finale : Match 100,Stade de Kansas City,À déterminer
2026-07-14,15:00,Demi-finale : Match 101,Stade de Dallas,À déterminer
2026-07-15,15:00,Demi-finale : Match 102,Stade d'Atlanta,À déterminer
2026-07-18,17:00,Match pour la 3e place : Match 103,Stade de Miami,À déterminer
2026-07-19,15:00,Finale : Match 104,Stade de New York New Jersey,À déterminer
